	1	2	3	4	5	6	7	8	9	10	11	12
cell122	0.0025241561	0.09146234	0.6639959	0.031282783	0.013660696	0.023995144	0.02792557	0.0	0.027396038	0.04675923	0.04253572	0.029373715
cell123	0.046760827	0.061828468	0.5187058	0.08388505	0.04769487	0.042383358	0.048931092	0.06356556	0.022913469	0.016311103	0.009992799	0.03656498
cell124	0.012532832	0.019820994	0.5710774	0.01174954	0.044512924	0.04092134	0.0	0.0	0.0807803	0.18260466	0.0	0.07245092
cell125	0.035641264	0.01841238	0.6014813	0.11298627	0.0	0.06844775	0.0	0.0833089	0.023906661	0.05220058	0.016463727	0.0
cell126	0.045479987	0.04188783	0.36511385	0.04201581	0.0434597	0.05480658	0.0	0.01927113	0.0	0.0	0.3695152	0.020612821
cell127	0.026897997	0.09657865	0.5368139	0.09097611	0.0394537	0.05664982	0.0	0.0	0.0	0.12242707	0.027806344	0.0
cell128	0.033761173	0.027115285	0.51325357	0.040487964	0.024963737	0.07142531	0.049101014	0.03842967	0.060133033	0.040326647	0.026062187	0.06735142
cell129	0.0	0.028570188	0.62893003	0.034340322	0.0	0.0	0.09570734	0.089485504	0.024349695	0.0	0.042312797	0.04619692
cell130	0.13130088	0.0	0.61013925	0.013897728	0.0	0.035617296	0.03693671	0.0	0.0	0.052564204	0.013395199	0.16918747
cell131	0.054375455	0.10001787	0.47975117	0.0917567	0.024263805	0.07236408	0.010480035	0.044524085	0.06246004	0.03465788	0.008261586	0.016881179
cell132	0.034236684	0.024228996	0.54297435	0.068191305	0.052005515	0.037424054	0.033264305	0.02195481	0.03586065	0.038052324	0.09100602	0.023430118
cell133	0.06522574	0.06550607	0.46856582	0.028009618	0.047738407	0.09906752	0.071398064	0.044792842	0.033529375	0.06663662	0.012527897	0.021925285
cell134	0.04240923	0.04499189	0.661489	0.011565382	0.052003328	0.0010674765	0.025719376	0.0	0.0	0.041671094	0.091093935	0.066534854
cell135	0.061886244	0.081763886	0.51876503	0.05400658	0.06309529	0.044937227	0.0	0.037827373	0.024726346	0.06617046	0.009656767	0.011753674
cell136	0.022351168	0.03223999	0.63616675	0.032976396	0.03287017	0.044640623	0.0	0.0014976898	0.049500257	0.026948845	0.091131955	0.048279732
cell137	0.026679724	0.10289366	0.5156354	0.052593183	0.049487125	0.055324946	0.009649339	0.040225144	0.0387608	0.026865238	0.03416982	0.031360183
cell138	0.07079142	0.09167596	0.5657872	0.021350263	0.042030808	0.06498373	0.027346611	0.025434611	0.007832107	0.043275632	0.01763907	0.020924734
cell139	0.066857435	0.08848075	0.57642215	0.033061203	0.017020088	0.06751145	0.039420906	0.0	0.06559011	0.032626677	0.023351029	0.0
cell140	0.0	0.058275484	0.6074042	0.054463923	0.08142703	0.030247714	0.015221695	0.0637767	0.018046236	0.031955734	0.0056731827	0.040594194
cell141	0.022066036	0.08983227	0.5908503	0.0022612652	0.054796975	0.023723945	0.015101169	0.027504994	0.0127344	0.065514445	0.010829075	0.060713403
cell142	0.0	0.05085745	0.5448841	0.0	0.0	0.04465163	0.017889673	0.0	0.09748357	0.022582877	0.20336843	0.017118918
cell143	0.03326582	0.041171163	0.5898632	0.0	0.011518194	0.039546262	0.09492565	0.061966326	0.0	0.028813563	0.018571705	0.065888375
cell144	0.053200316	0.078126095	0.44023493	0.08286345	0.068789355	0.09074134	0.00723827	0.058712997	0.03742839	0.059857972	0.019238725	0.015813358
cell145	0.032855533	0.03839841	0.6026833	0.023482114	0.030422565	0.07282443	0.027545908	0.030912401	0.050620735	0.047093112	0.019201588	0.014728464
cell146	0.06466306	0.07749004	0.48899308	0.09618514	0.005223408	0.0	0.014212415	0.025352973	0.050241802	0.09216899	0.0039877724	0.038598865
cell147	0.0	0.06954597	0.6288405	0.04788258	0.06498119	0.05377721	0.0	0.062073648	0.0	0.059955943	0.01184496	0.0
cell148	0.058766093	0.07047625	0.5345978	0.04874317	0.053468835	0.10012104	0.0	0.0036555605	0.0	0.04763313	0.008238563	0.07606719
cell149	0.05814094	0.030183515	0.48240438	0.055860996	0.043679286	5.523931e-05	0.07639906	0.08248058	0.022990067	0.0	0.068544775	0.09090044
cell150	0.03762467	0.07795795	0.5401707	0.097891	0.081072554	0.0	0.07837832	0.0328491	0.0	0.058293633	0.0	0.0
cell151	0.049153637	0.10878728	0.54256505	0.09255741	0.031630583	0.09765556	0.024731101	0.030704401	0.0	0.010047321	0.012687095	0.012177922
cell152	0.095988095	0.08402033	0.48297358	0.060796868	0.069022	0.05210978	0.08878966	0.017102776	0.018342804	5.9927126e-05	0.005643205	0.0
cell153	0.0	0.020208634	0.45291832	0.07605453	0.026941935	0.0	0.010703789	0.035965547	0.0	0.021310544	0.31956825	0.031609815
cell154	0.06411501	0.12199507	0.50114477	0.0036768753	0.027352272	0.11000278	0.0	0.0	0.06652274	0.078482635	0.0	0.009673179
cell155	0.0367379	0.09842028	0.4375052	0.0472683	0.049368296	0.06937229	0.07086906	0.05208874	0.026019894	0.024196276	0.045224342	0.028073847
